"keyword","page","category","age","title","nickname","likes","sourceUrl"
"노인","1","일반/기술","4일 전","실버실드 (silver shield) - 인지능력 저하 독거노인 재산관리 AI시스템","woong","2","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","방문 노인 운동 케어 서비스 및 노인 전용 헬스 센터","고진감래","1","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","초고령사회 대응을 위한 시니어 건강증진 및 노인정 운동공간 재구성","발리","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","노인의 낙상 위험을 줄이기 위해 조명과 생활 환경 반응을 결합한 스마트 조명 기반 안전 보조 시스템","하효진","1","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","간병사의 권리와 근무 환경을 개선해 더 많은 간병 인력이 일할 수 있게 만들고, 노인들이 자신에게 맞는 간병인을 선택할 수 있도록 돕는 AI 지역 간병센터 관리 플랫폼","민채영","1","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","혼자 있는 노인들에게 안전성을 제거하는 장치","baehan06naver.com","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","갈곳 없는 17만 노인 퇴원 환자 + 지방 68% 폐모텔 공실·방치된 빈집문제으로 해결 = 지방소멸 막는 IoT·AI 시니어타운 DX 플랫폼","공습경보","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","노인 돌봄현장에서 즉시 활용하는 종이&디지털 결합형 인지활동 서비스 <말랑케어>","밀크코피","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","노인 일자리 문제 해결 시니어 카페","신이현","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
"노인","1","일반/기술","4일 전","액티브시니어, 노인, 치매노인들에 맞는 365일 읽기책 개발 및 유통을 통해서 인지와 일상생활의 가장 기초가 되는 언어기능을 유지 또는 회복하도록 한다","scmm","0","https://www.modoo.or.kr/idea/list?keyword=%EB%85%B8%EC%9D%B8"
